label,message,length,processed_message,token_count
spam,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",155,"['goal', 'arsenal', 'henry', 'v', 'liverpool', 'henry', 'score', 'simple', 'shot', 'yard', 'pas', 'bergkamp', 'give', 'arsenal', 'goal', 'margin', 'min']",17
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.",112,"['said', 'gon', 'na', 'snow', 'start', 'around', 'pm', 'tonite', 'predicting', 'inch', 'accumulation']",11
ham,Aah bless! How's your arm?,26,"['aah', 'bless', 'arm']",3
ham,Oh k. . I will come tomorrow,28,"['oh', 'come', 'tomorrow']",3
ham,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,104,"['happening', 'gotten', 'job', 'begun', 'registration', 'permanent', 'residency']",7
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,74,"['quite', 'ok', 'bit', 'ex', 'u', 'better', 'go', 'eat', 'smth', 'else', 'feel', 'guilty']",12
spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,157,"['want', 'new', 'video', 'phone', 'anytime', 'network', 'min', 'inclusive', 'video', 'call', 'downloads', 'per', 'week', 'free', 'deltomorrow', 'call', 'reply']",17
ham,I dont want to hear anything,28,"['dont', 'want', 'hear', 'anything']",4
ham,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,41,"['hi', 'kate', 'u', 'give', 'ring', 'asap', 'xxx']",7
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,174,"['account', 'refilled', 'successfully', 'inr', 'lt', 'decimal', 'gt', 'keralacircle', 'prepaid', 'account', 'balance', 'r', 'lt', 'decimal', 'gt', 'transaction', 'id', 'kr', 'lt', 'gt']",20
ham,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,147,"['pls', 'give', 'food', 'preferably', 'pap', 'slowly', 'load', 'sugar', 'take', 'hour', 'give', 'water', 'slowly']",13
ham,So that means you still think of teju,37,"['mean', 'still', 'think', 'teju']",4
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,162,"['free', 'week', 'nokia', 'tone', 'ur', 'mobile', 'every', 'week', 'txt', 'nokia', 'get', 'txting', 'tell', 'ur', 'mate', 'pobox']",16
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free,138,"['hey', 'next', 'sun', 'basic', 'yoga', 'course', 'bugis', 'go', 'pilate', 'intro', 'next', 'sat', 'tell', 'time', 'r', 'free']",16
spam,You have 1 new message. Please call 08718738034.,48,"['new', 'message', 'please', 'call']",4
ham,I told that am coming on wednesday.,35,"['told', 'coming', 'wednesday']",3
ham,Eatin my lunch...,17,"['eatin', 'lunch']",2
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,174,"['da', 'birthdate', 'certificate', 'april', 'real', 'date', 'today', 'dont', 'publish', 'shall', 'give', 'special', 'treat', 'keep', 'secret', 'way', 'thanks', 'wish']",18
spam,Send a logo 2 ur lover - 2 names joined by a heart. Txt LOVE NAME1 NAME2 MOBNO eg LOVE ADAM EVE 07123456789 to 87077 Yahoo! POBox36504W45WQ TxtNO 4 no ads 150p,159,"['send', 'logo', 'ur', 'lover', 'name', 'joined', 'heart', 'txt', 'love', 'mobno', 'eg', 'love', 'adam', 'eve', 'yahoo', 'txtno', 'ad']",17
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",155,"['get', 'lion', 'england', 'tone', 'reply', 'lionm', 'mono', 'lionp', 'poly', 'go', 'original', 'n', 'best', 'tone', 'network', 'operator', 'rate', 'apply']",18
ham,I tot u reach liao. He said t-shirt.,36,"['tot', 'u', 'reach', 'liao', 'said']",5
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",152,"['u', 'u', 'u', 'b', 'moving', 'flat', 'co', 'need', 'arrange', 'pick', 'lamp', 'etc', 'take', 'care', 'hello', 'caroline']",16
ham,Which is weird because I know I had it at one point,51,"['weird', 'know', 'one', 'point']",4
spam,"For your chance to WIN a FREE Bluetooth Headset then simply reply back with ""ADP""",81,"['chance', 'win', 'free', 'bluetooth', 'headset', 'simply', 'reply', 'back', 'adp']",9
ham,Dai what this da.. Can i send my resume to this id.,51,"['dai', 'da', 'send', 'resume', 'id']",5
spam,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,135,"['donate', 'unicef', 'asian', 'tsunami', 'disaster', 'support', 'fund', 'texting', 'donate', 'added', 'next', 'bill']",12
ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,84,"['ummmmmaah', 'many', 'many', 'happy', 'return', 'day', 'dear', 'sweet', 'heart', 'happy', 'birthday', 'dear']",12
ham,"Had the money issue weigh me down but thanks to you, I can breathe easier now. I.ll make sure you dont regret it. Thanks.",121,"['money', 'issue', 'weigh', 'thanks', 'breathe', 'easier', 'make', 'sure', 'dont', 'regret', 'thanks']",11
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,67,"['watching', 'surya', 'movie', 'pm', 'vijay', 'movie', 'pokkiri']",7
ham,Is toshiba portege m100 gd?,27,"['toshiba', 'portege', 'gd']",3
ham,Ok lor wat time ü finish?,25,"['ok', 'lor', 'wat', 'time', 'ü', 'finish']",6
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur Mob? Join the UK's largest Dogging Network by txting MOAN to 69888Nyt. ec2a. 31p.msg@150p,159,"['want', 'get', 'laid', 'tonight', 'want', 'real', 'dogging', 'location', 'sent', 'direct', 'ur', 'mob', 'join', 'uk', 'largest', 'dogging', 'network', 'txting', 'moan']",19
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?,139,"['dating', 'two', 'started', 'sent', 'text', 'talk', 'sport', 'radio', 'last', 'week', 'connection', 'think', 'coincidence']",13
ham,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! ",120,"['whats', 'coming', 'hill', 'monster', 'hope', 'great', 'day', 'thing', 'r', 'going', 'fine', 'busy', 'though']",13
ham,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",162,"['sometimes', 'put', 'wall', 'around', 'heart', 'safe', 'getting', 'hurt', 'find', 'care', 'enough', 'break', 'wall', 'amp', 'get', 'closer', 'goodnoon']",17
ham,"Nothing much, chillin at home. Any super bowl plan?",51,"['nothing', 'much', 'chillin', 'home', 'super', 'bowl', 'plan']",7
