label,message,processed_message,token_count
1,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.","['goal', 'arsenal', 'henry', 'v', 'liverpool', 'henry', 'score', 'simple', 'shot', 'yard', 'pas', 'bergkamp', 'give', 'arsenal', 'goal', 'margin', 'min']",17
0,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation.","['said', 'gon', 'na', 'snow', 'start', 'around', 'pm', 'tonite', 'predicting', 'inch', 'accumulation']",11
0,Aah bless! How's your arm?,"['aah', 'bless', 'arm']",3
0,Oh k. . I will come tomorrow,"['oh', 'come', 'tomorrow']",3
0,What's happening with you. Have you gotten a job and have you begun registration for permanent residency,"['happening', 'gotten', 'job', 'begun', 'registration', 'permanent', 'residency']",7
0,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,"['quite', 'ok', 'bit', 'ex', 'u', 'better', 'go', 'eat', 'smth', 'else', 'feel', 'guilty']",12
1,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,"['want', 'new', 'video', 'phone', 'anytime', 'network', 'min', 'inclusive', 'video', 'call', 'downloads', 'per', 'week', 'free', 'deltomorrow', 'call', 'reply']",17
0,I dont want to hear anything,"['dont', 'want', 'hear', 'anything']",4
0,HI ITS KATE CAN U GIVE ME A RING ASAP XXX,"['hi', 'kate', 'u', 'give', 'ring', 'asap', 'xxx']",7
0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,"['account', 'refilled', 'successfully', 'inr', 'lt', 'decimal', 'gt', 'keralacircle', 'prepaid', 'account', 'balance', 'r', 'lt', 'decimal', 'gt', 'transaction', 'id', 'kr', 'lt', 'gt']",20
0,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.,"['pls', 'give', 'food', 'preferably', 'pap', 'slowly', 'load', 'sugar', 'take', 'hour', 'give', 'water', 'slowly']",13
0,So that means you still think of teju,"['mean', 'still', 'think', 'teju']",4
